firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Glaes Ltd,electricians,"Mitcham, South London",CR4 4EF,07900 255653,,,4,5.0,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website;established,08101770,"ZEDIU, Gabriel",14,false,false,
TK electric,electricians,"Mitcham, South London",CR4 1ER,07920 064089,,,,,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website;established,13665245,"VOWLES, Kenneth",4,false,false,
Happy volt electrics,electricians,"Mitcham, South London",CR4 4AD,020 3670 3949,info@mitchamelectricians.co.uk,https://mitchamelectricians.co.uk/,2,5.0,40,15,no_booking;no_chat;phone_dependent,16216234,"PLOMINSKI, Lukasz",1,false,false,
Braye Electrical,electricians,"Mitcham, South London",CR4 3JU,020 3670 7944,,,3,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,09685638,"VELLA, Kyle Charles John",11,false,false,
Jahan Electrical And Heating Ltd,electricians,"Mitcham, South London",CR4 4AJ,,,,,,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Fitzpatrick Electrical Services Ltd,electricians,"Mitcham, South London",CR4 2HZ,07886 373358,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,08018746,"FITZPATRICK, Mark James",14,false,false,
T G Electrical,electricians,"Mitcham, South London",CR4 2HR,07882 882711,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,05771780,"GRAHAM, Trevor",20,false,false,
Jimmy Electrical & Plumbing,electricians,"Mitcham, South London",CR4 3BZ,07932 084695,,https://www.jimmyservices.co.uk/,,,40,15,no_booking;no_chat;phone_dependent;established,10026147,"KELLY, James",10,false,false,
ElectroLogic Electrical Sevices LTD,electricians,"Mitcham, South London",CR4 4DX,07400 425293,,http://electrologic.co.uk/,39,5.0,20,10,no_booking;no_chat,16040950,"TSATSA, Giochan",1,false,false,
FixElectricSparky emergency call out,electricians,"Mitcham, South London",CR4 4BE,07930 855576,info@fixelectricsparky.co.uk,https://fixelectricsparky.co.uk/,29,5.0,20,5,no_chat,,,,false,false,
OHMATIC ELECTRICAL LTD,electricians,"Mitcham, South London",CR4 3HN,07982 306772,info@ohmaticelectrical.co.uk,https://ohmaticelectrical.co.uk/,82,5.0,10,15,no_booking;no_chat;phone_dependent;established,13450616,"PIWOWARCZYK, Tomasz Marek",5,false,false,
The one Electrician LTD,electricians,"Mitcham, South London",CR4 1DJ,07590 360176,,https://theoneelectricianltd.co.uk/,75,4.9,10,15,no_booking;no_chat;phone_dependent;established,13353816,"DERVISHI, Merushe",5,false,false,
