firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Barking Electrical Services Ltd,electricians,"Barking, East London",IG11 8SF,07361 591483,,,5,4.2,100,15,has_negative_recent;missed_call_evidence;no_booking;no_chat;phone_dependent;no_website;established,07989377,"SHEVKET, Aytan",14,false,false,
Royale Installation Group Ltd,electricians,"Barking, East London",IG11 8TN,07482 903020,,https://royaleinstallation.co.uk/,13,3.8,100,15,has_negative_recent;missed_call_evidence;no_booking;no_chat;phone_dependent,17334737,"COOPER, Denise Iona",0,false,false,
"GET Electrical & Plumbing (Lighting, Cable, DIY, Tools)",electricians,"Barking, East London",E6 2JX,020 3793 1207,webmaster@getelectricalplumbing.uk,http://www.getelectricalplumbing.uk/,23,4.0,85,10,has_negative_recent;missed_call_evidence;no_booking;no_chat,,,,false,false,
Barking Electrical Services and EICR,electricians,"Barking, East London",IG11 0RB,0800 411 8087,,,7,5.0,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,15478469,"WEBSTER, Victoria Louise",2,false,false,
R22,electricians,"Barking, East London",IG11 7EF,020 4578 9718,,https://r22company.com/,14,5.0,40,15,no_booking;no_chat;phone_dependent,15326112,"CULLEN, Ross",2,false,false,
BB Electrical Services,electricians,"Barking, East London",E6 1LB,020 3871 8683,,,9,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,10726520,"BOSWELL, Bradley",9,false,false,
Barking and Dagenham Electrical Co.,electricians,"Barking, East London",IG11 8JH,020 3670 7924,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,03038503,"HALL, David John",31,false,false,
GB Stars Electrical,electricians,"Barking, East London",IG11 8RT,07305 295837,,https://gbstarservices.com/,1,5.0,40,15,no_booking;no_chat;phone_dependent;established,12496208,"MAJUMDER, Pravangshu Kumar",6,false,false,
TRIDENT FIRE AND ELECTRICAL SERVICES LTD,electricians,"Barking, East London",IG11 9UU,07412 378982,,,5,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,07553489,"JOSEPH, Nathan",15,false,false,
Endwell Electrical Services Ltd,electricians,"Barking, East London",IG11 8BB,07554 499122,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,09933990,"WALKER, Simon",10,false,false,
Clark Electrical Industries Ltd,electricians,"Barking, East London",IG11 9TA,020 7474 7404,enquiries@ceiltd.co.uk,https://www.ceiltd.co.uk/,,,40,15,no_booking;no_chat;phone_dependent;established,01547876,"BURNS, David",45,false,false,
Veltrix Electrics,electricians,"Barking, East London",IG11 9TS,07514 006000,info@veltrixelectrics.co.uk,https://www.veltrixelectrics.co.uk/,11,5.0,40,10,no_booking;no_chat,16335738,"GUL, Sidra",1,false,false,
Moonlight Maintenance Limited,electricians,"Barking, East London",IG11 9LR,07565 582570,info@moonlightmaintenance.co.uk,http://www.moonlightmaintenance.co.uk/,19,4.9,40,10,no_booking;no_chat;established,12234679,"SHAFQAT, Arsalan",6,false,false,
Thames Electrical (TGHE),electricians,"Barking, East London",IG11 7RP,07710 670720,,https://www.tghe.co.uk/,1,5.0,40,10,no_booking;no_chat,,,,false,false,
Star Power Plus,electricians,"Barking, East London",IG11 7XQ,07517 220613,info@starpowerplus.co.uk,http://www.starpowerplus.co.uk/,43,4.9,20,15,no_booking;no_chat;phone_dependent;established,09379106,"RUSSEL, Shamsul Matin",11,false,false,
ELECTRIC AND FIRE LTD,electricians,"Barking, East London",E12 5AN,07809 618061,,,27,5.0,20,15,no_booking;no_chat;phone_dependent;no_website;established,12949892,"DOGAR, Basit Ali",5,false,false,
CG Electrical (Cliff Gouveia),electricians,"Barking, East London",IG11 0LY,07957 934710,,http://www.cg-electrical.co.uk/,30,5.0,20,10,no_booking;no_chat,16240112,"APPLEYARD, Craig",1,false,false,
Contact Us,electricians,"Barking, East London",,020 3670 3566,,https://www.ig11electricianbarking.co.uk/contact-us/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
"Experienced Electricians in Barking, Essex & London",electricians,"Barking, East London",,,info@starpowerplus.co.uk,https://starpowerplusltd.co.uk/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
Electricians & Electrical Contractors East London,electricians,"Barking, East London",,,,https://www.020.co.uk/e/electricians-and-electrical-contractors/east-london/london.shtml,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
Electrical Testing & Surveys Ltd,electricians,"Barking, East London",,,martin@electesting.co.uk,https://electricaltesting-london.co.uk/,,,10,10,weak_gbp;no_booking;no_chat;established,03331678,"EATON, Martin",29,false,false,
East End Electric: Home,electricians,"Barking, East London",,,,https://www.eastendelectriclondon.co.uk/,,,10,10,weak_gbp;no_booking;no_chat,,,,false,false,
"Electricians in Barking and Dagenham, London",electricians,"Barking, East London",,,,https://londonbased.co.uk/category/electricians/barking-and-dagenham,,,10,10,weak_gbp;no_booking;no_chat,,,,false,false,
Ideal Electricians Ltd,electricians,"Barking, East London",RM9 4SJ,07502 396654,idealelectricians@gmail.com,https://www.idealelectricians.co.uk/,173,4.9,0,15,no_booking;no_chat;phone_dependent,15445571,"CHOWDHURY, Mizanur Rahman",2,false,false,
Kwikstart LTD,electricians,"Barking, East London",IG11 0TJ,020 8519 1920,,http://www.kwikstart-london.co.uk/,238,4.7,0,10,no_booking;no_chat;established,08921311,"MUDHAR, Amrik Singh",12,false,false,
