firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
New Heat Solutions,hvac,"Woking, Surrey",GU21 2EP,01483 480132,,http://new-heat.co.uk/,31,4.7,55,10,has_negative_recent;missed_call_evidence;no_booking;no_chat,,,,false,false,
L&J Air Conditioning Ltd,hvac,"Woking, Surrey",GU21 3JU,07824 613676,simonlemon@ljairconditioningltd.co.uk,https://www.ljairconditioningltd.co.uk/,9,5.0,40,15,no_booking;no_chat;phone_dependent,15449903,"JONES, Benn Albert",2,false,false,
HL Air conditioning services Ltd,hvac,"Woking, Surrey",KT16 9PY,07837 974278,sales@hlairconditioningservices.co.uk,https://www.hlairconditioningservices.co.uk/,16,5.0,40,15,no_booking;no_chat;phone_dependent;established,13396851,"LEWIS, Henry",5,false,false,
ReaderAir,hvac,"Woking, Surrey",GU21 5DH,01483 726300,info@readerair.co.uk,https://www.readerair.co.uk/,4,4.8,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Advanced Control Solutions,hvac,"Woking, Surrey",GU24 0NJ,01483 237812,Helpdesk@acs-southeast.com,https://www.acs-southeast.com/,1,5.0,40,15,no_booking;no_chat;phone_dependent;established,02650250,"ESHELBY, Keith Alan",34,false,false,
R S Bailey Plumbing & Heating,hvac,"Woking, Surrey",GU21 8TR,07836 562080,info@rsbaileyplumbingandheating.co.uk,https://www.rsbaileyplumbingandheating.co.uk/,1,5.0,40,15,no_booking;no_chat;phone_dependent;established,07295157,"BAILEY, Robert",16,false,false,
"Customised Consulting Air Conditioning Services Weybridge, Surrey",hvac,"Woking, Surrey",KT13 8JG,01932 282351,enquiries@customisedconsulting.com,https://www.customisedconsulting.com/,,,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
SAV Systems,hvac,"Woking, Surrey",GU21 5BX,01483 771910,info@sav-systems.com,http://www.sav-systems.com/,18,4.5,40,15,no_booking;no_chat;phone_dependent;established,10820312,"BRANIFF, Thomas Vincent",9,false,false,
Intelligent Air Conditioning,hvac,"Woking, Surrey",GU21 8XD,01483 487215,info@intelligentac.co.uk,http://www.intelligentac.co.uk/,1,5.0,40,10,no_booking;no_chat;established,07453790,"BUTT, Andrea Fleur",15,false,false,
Cube Airconditioning Ltd,hvac,"Woking, Surrey",GU4 7NU,0844 502 7670,info@cubeacltd.com,http://cubeacltd.com/,2,5.0,40,10,no_booking;no_chat;established,05332177,"GROVER, Alana Kelly",21,false,false,
Imperial Climate,hvac,"Woking, Surrey",GU21 3AP,07584 976672,,https://imperialclimate.co.uk/,,,40,10,no_booking;no_chat;established,12305231,"HALLIDAY, David Gordon",6,false,false,
AIR-REF LIMITED,hvac,"Woking, Surrey",GU22 0SD,01483 755440,info@airref.co.uk,http://www.airref.co.uk/,28,4.8,20,15,no_booking;no_chat;phone_dependent;established,03511562,"PARMAR, Jitan",28,false,false,
Jupiter Underfloor Heating,hvac,"Woking, Surrey",GU24 8DJ,01276 859066,,https://www.jupiterunderfloorheating.com/,40,4.9,20,10,no_booking;no_chat;established,14725330,"SZCZEPANIAK, Dariusz",3,false,false,
AutoAir Conditioning Ltd,hvac,"Woking, Surrey",GU21 2SN,01483 480252,,http://www.autoairconditioningltd.co.uk/,83,4.9,10,15,no_booking;no_chat;phone_dependent;established,03477627,"SOAMES, Gary Robert",28,false,false,
Noremac Heating,hvac,"Woking, Surrey",GU21 3PX,07737 360850,,https://www.noremacheating.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,91,5.0,10,15,no_booking;no_chat;phone_dependent,16455982,"EVANS-WILLIAMS, Cameron",1,false,false,
EA Electrical Ltd,hvac,"Woking, Surrey",GU24 8RH,01483 399795,,https://www.eaelectricalltd.co.uk/,57,5.0,10,10,no_booking;no_chat,17148346,"AHMADI, Edris",0,false,false,
Fujitsu Air Conditioning in Woking,hvac,"Woking, Surrey",,01784 818 108,,https://www.acbreezeairconditioning.co.uk/fujitsu-air-conditioning/surrey/woking,,,10,10,weak_gbp;no_booking;no_chat;established,06277345,"BALDIRA MARTINEZ DE IRUJO, Ferran Xavier",19,false,false,
"Heventa Building Engineering Services, based in Woking ...",hvac,"Woking, Surrey",,,enquiries@heventa.co.uk,https://heventa.co.uk/services/,,,10,10,weak_gbp;no_booking;no_chat;established,06134201,"BAKER, Daniel Anthony",19,false,false,
Air Conditioning Services,hvac,"Woking, Surrey",,07827018042,cjh.aircon@gmail.com,https://www.cjhairconditioning.com/,,,10,5,weak_gbp;no_chat,,,,false,false,
Boilergurus,hvac,"Woking, Surrey",GU22 9HT,020 7101 4370,,http://www.boilergurus.com/,196,4.9,0,10,no_booking;no_chat;established,12601538,"COMPTON, Lydia",6,false,false,
ACC Motors,hvac,"Woking, Surrey",GU21 5FW,01483 772999,,http://www.accmotors.co.uk/,109,4.5,0,10,no_chat;phone_dependent,,,,false,false,
