firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
24x7 Plumbers And Electrical Services,electricians,"Purley, South London",CR8 2AA,07411 491241,,,2,3.0,100,15,has_negative_recent;missed_call_evidence;no_booking;no_chat;phone_dependent;no_website;established,13381423,"JAMES, Jaison",5,false,false,
Seno Electricians,electricians,"Purley, South London",CR8 2DH,020 3519 9437,info@purley-electricians.co.uk,http://purley-electricians.co.uk/,1,5.0,40,15,no_booking;no_chat;phone_dependent;established,12942881,"ERDOGAN, Senol",5,false,false,
A A B ELECTRICAL AND PLUMBING CONTRACTORS LTD,electricians,"Purley, South London",CR8 3NB,,,https://alf5.com/,,,40,15,no_booking;no_chat;phone_dependent;established,04372064,"BELLOT, Alan",24,false,false,
Bunce Electrical limited,electricians,"Purley, South London",SM3 8NY,07939 097079,info@bunceelectrical.co.uk,https://bunceelectrical.co.uk/,19,5.0,40,15,no_booking;no_chat;phone_dependent,16242197,"BUNCE, Joshua David",1,false,false,
Vita Electric & Plumbing,electricians,"Purley, South London",CR8 2AF,07451 289978,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,14057581,"AHMED, Sajjad",4,false,false,
AL Electrical Services,electricians,"Purley, South London",CR2 6BQ,07790 913745,,,1,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,09467948,"CAMPEY, Allen Carl",11,false,false,
Hezron Plumber | Electrical And Heating South Croydon,electricians,"Purley, South London",CR2 0NH,07360 278420,,,1,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,13289109,"PENMAN, Michael Joseph",5,false,false,
JMO Electrical Services,electricians,"Purley, South London",CR8 4BH,07974 033627,,,,,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Go Fix Property Maintenance Ltd,electricians,"Purley, South London",CR8 2QB,07947 909074,,,16,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,13861367,"COX, David John",4,false,false,
Solid Electrical,electricians,"Purley, South London",CR2 0BS,020 3633 8262,office@solid-electrical.co.uk,http://solid-electrical.co.uk/,3,5.0,40,15,no_booking;no_chat;phone_dependent;established,12218832,"MAUDE, Jamie Anthony",6,false,false,
Skywalker Electric Limited,electricians,"Purley, South London",CR8 4AZ,020 3773 6988,,http://6a30f5266b44e.site123.me/,,,40,10,no_booking;no_chat;established,14675729,"ALMEIDA, Jose Ryan",3,false,false,
Cerberus Systems Ltd,electricians,"Purley, South London",CR8 4SA,020 8763 4162,info@cerberussystems.co.uk,http://www.cerberussystems.co.uk/,1,5.0,40,10,no_booking;no_chat;established,05069031,"SHONE, Nicholas",22,false,false,
Omega Electrical Engineering Service,electricians,"Purley, South London",CR8 2DX,07941 191214,daniel@oees.co.uk,http://oees.co.uk/,41,5.0,20,10,no_booking;no_chat;established,12732255,"WOODHOUSE, Daniel Perry",6,false,false,
DJM electrical (south) ltd,electricians,"Purley, South London",CR8 5BR,07724 793499,,https://djm-electrical.uk/,35,4.9,20,10,no_booking;no_chat;established,13129106,"MCLOUGHLIN, Daniel John",5,false,false,
CMD Electrical Services Ltd,electricians,"Purley, South London",CR5 2HS,01883 338287,enquiries@cmdelectricalservicesltd.com\,https://www.cmdelectricalservicesltd.com/,66,4.9,10,15,no_booking;no_chat;phone_dependent;established,11512169,"GRABBAN, Justin George",8,false,false,
Croydon Electrical Training Centre,electricians,"Purley, South London",,01293 529777,,https://tradeskills4u.co.uk/purley-electrical-training-centre,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
Commercial Electrician Croydon,electricians,"Purley, South London",,,enquiries@prolecsolutions.co.uk,https://www.prolecsolutions.co.uk/commercial-electrician-london/croydon/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
Charged Solutions - Electrician in Wallington,electricians,"Purley, South London",SM6 8HL,07946 454617,info@charged-solutions.co.uk,https://www.charged-solutions.co.uk/,69,5.0,10,10,no_booking;no_chat,,,,false,false,
