id,run_id,name,vertical,town,postcode,address,website,domain,phone,google_place_id,rating,review_count,director_name,companies_house_number,is_group_owned,is_chain,chain_reason,priority,priority_score,created_at,top_pain_review
549,23,AIR-REF LIMITED,hvac,"Woking, Surrey",GU22 0SD,"Guildford Rd, Woking GU22 0SD",http://www.airref.co.uk/,airref.co.uk,01483 755440,ChIJIyfU33rXdUgRN7xJMQoEhAg,4.8,28,"PARMAR, Jitan",03511562,0,0,,,,2026-08-19T06:12:34.780481+00:00,
550,23,AutoAir Conditioning Ltd,hvac,"Woking, Surrey",GU21 2SN,"10 Rapsley Ln, Knaphill, Woking GU21 2SN",http://www.autoairconditioningltd.co.uk/,autoairconditioningltd.co.uk,01483 480252,ChIJ94841FzWdUgRcUo32bh_wdA,4.9,83,"SOAMES, Gary Robert",03477627,0,0,,,,2026-08-19T06:12:35.270191+00:00,
551,23,Noremac Heating,hvac,"Woking, Surrey",GU21 3PX,"Knightswood, Woking GU21 3PX",https://www.noremacheating.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,noremacheating.com,07737 360850,ChIJ0xhwnMz-Pk4RvbzvjDINrV4,5.0,91,"EVANS-WILLIAMS, Cameron",16455982,0,0,,,,2026-08-19T06:12:35.763649+00:00,
552,23,L&J Air Conditioning Ltd,hvac,"Woking, Surrey",GU21 3JU,"98 Bitterne Dr, Woking, GU213ju GU21 3JU",https://www.ljairconditioningltd.co.uk/,ljairconditioningltd.co.uk,07824 613676,ChIJkfdjVbHXdUgRoeC29-tXzsA,5.0,9,"JONES, Benn Albert",15449903,0,0,,,,2026-08-19T06:12:36.193025+00:00,
553,23,Daikin Airconditioning UK Ltd,hvac,"Woking, Surrey",GU21 5JY,"21 Woking Business Park, Albert Dr, Woking GU21 5JY",http://www.daikin.co.uk/,daikin.co.uk,0845 641 9000,ChIJwR_AB2zYdUgRb0cC8SfIPCA,4.7,19,"DE SCHACHT, Wim",04616794,1,1,Companies House PSC shows corporate-entity ownership (company 04616794),,,2026-08-19T06:12:36.700138+00:00,
554,23,Intelligent Air Conditioning,hvac,"Woking, Surrey",GU21 8XD,"31 Briarwood Rd, St John's, Woking GU21 8XD",http://www.intelligentac.co.uk/,intelligentac.co.uk,01483 487215,ChIJvU1tW1PWdUgRhNWxGOdDcWo,5.0,1,"BUTT, Andrea Fleur",07453790,0,0,,,,2026-08-19T06:12:37.131927+00:00,
555,23,Boilergurus,hvac,"Woking, Surrey",GU22 9HT,"50 Selwood Rd, Old Woking, Woking GU22 9HT",http://www.boilergurus.com/,boilergurus.com,020 7101 4370,ChIJm0INSDvXdUgRuLqulA4N1MI,4.9,196,"COMPTON, Lydia",12601538,0,0,,,,2026-08-19T06:12:37.601747+00:00,
556,23,HL Air conditioning services Ltd,hvac,"Woking, Surrey",KT16 9PY,"24 Fernlands Cl, Chertsey KT16 9PY",https://www.hlairconditioningservices.co.uk/,hlairconditioningservices.co.uk,07837 974278,ChIJef_70FF3dkgRKs6XSjcqQlU,5.0,16,"LEWIS, Henry",13396851,0,0,,,,2026-08-19T06:12:38.191152+00:00,
557,23,Jupiter Underfloor Heating,hvac,"Woking, Surrey",GU24 8DJ,"Unit 1, The Barns, Pennypot Ln, Chobham, Woking GU24 8DJ",https://www.jupiterunderfloorheating.com/,jupiterunderfloorheating.com,01276 859066,ChIJO03MPCnWdUgRH4oSQVN0zZ4,4.9,40,"SZCZEPANIAK, Dariusz",14725330,0,0,,,,2026-08-19T06:12:38.637198+00:00,
558,23,New Heat Solutions,hvac,"Woking, Surrey",GU21 2EP,"Lansbury Business Estate, 102 Lower Guildford Rd, Knaphill, Woking GU21 2EP",http://new-heat.co.uk/,new-heat.co.uk,01483 480132,ChIJK6R3vlLWdUgR3ZTuYAEFxCU,4.7,31,,,0,0,,,,2026-08-19T06:12:38.896596+00:00,
