firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
AMAC Electrical Contracting,electricians,"Walthamstow, East London",E10 6JD,020 8279 0088,,,5,5.0,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,,,,false,false,
l1 Electrical 24/7,electricians,"Walthamstow, East London",E17 8JA,07432 235232,,,10,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,13756329,"CARTER, Thomas Jordan",4,false,false,
BBA Electrical And Heating Ltd,electricians,"Walthamstow, East London",E17 9AX,07445 359864,,,9,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,14243737,"YOLCU, Ali",4,false,false,
DA Electrical London Ltd,electricians,"Walthamstow, East London",E17 7HL,07727 619854,info@daelectricallondon.co.uk,https://www.daelectricallondon.co.uk/,9,5.0,40,15,no_booking;no_chat;phone_dependent;established,10922264,"ALBRAHIMI, Dritan",9,false,false,
Waltham Forest Electrical Services,electricians,"Walthamstow, East London",E17 5RZ,020 3670 7884,,,,,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Rubben Electrical Services,electricians,"Walthamstow, East London",E17 4NL,07931 094585,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,13601551,"WINFUL, Ruby Akler",4,false,false,
Highs Care,electricians,"Walthamstow, East London",E17 7BF,020 4538 8713,,,1,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,SC432029,"BURTON, Andrew",13,false,false,
AKA Sparks Electrical Contractors Ltd,electricians,"Walthamstow, East London",E17 7LE,07591 105974,info@akasparkselectrical.co.uk,http://akasparks.co.uk/,1,5.0,40,10,no_booking;no_chat;established,10318018,"ABEYIE, Aaron Keith",10,false,false,
KG Electrical Contractors Ltd,electricians,"Walthamstow, East London",E17 8HA,07588 394300,,https://www.kgelectricalcontractorsltd.co.uk/,14,5.0,40,5,no_chat;established,11855056,"GARCIA OVIEDO, Kevin Hugo",7,false,false,
Gamma Electrical LTD,electricians,"Walthamstow, East London",E17 9BZ,07956 428204,gamma@gammaelectricalltd.co.uk,https://gamma768.wixsite.com/gamma,13,5.0,40,5,no_chat;established,05431975,"SINGH, Gurnam",21,false,false,
All Services 4U - Electrician East London,electricians,"Walthamstow, East London",E4 8SA,020 7183 9572,info@allservices4u.co.uk,https://allservices4u.co.uk/south-east-london/emergency-electrician/,10,5.0,40,5,no_chat,17145333,"SCHULMAN, Izhar",0,false,false,
Quickvolts Electrical,electricians,"Walthamstow, East London",E17 5JZ,07590 928564,,https://www.mybuilder.com/profile/quickvolts/reviews,44,5.0,20,15,no_booking;no_chat;phone_dependent;established,SC643248,"MCKINNEL, Steven John",6,false,false,
London Electrical and Plumbing Supplies,electricians,"Walthamstow, East London",E10 7EA,020 3581 6767,,,22,4.9,20,15,no_booking;no_chat;phone_dependent;no_website;established,11865735,"MAHMOOD, Waqas",7,false,false,
FlowTech Plumbing & Drainage Walthamstow,electricians,"Walthamstow, East London",E17 4RW,020 3670 8167,,,34,5.0,20,15,no_booking;no_chat;phone_dependent;no_website;established,07230147,"FLOWERS, Alan John",16,false,false,
PD Electrical London Limited - NICEIC Approved Contractor,electricians,"Walthamstow, East London",E4 6HY,07932 720982,p.delectrical@btinternet.com,https://www.pd-electrical.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13595391233692485761,36,5.0,20,10,no_booking;no_chat;established,13353711,"GILLON, Steven David",5,false,false,
M.E.L Electrical,electricians,"Walthamstow, East London",E17 4LB,07883 078488,info@melelectricalltd.co.uk,https://www.melelectricalltd.co.uk/,61,5.0,10,15,no_booking;no_chat;phone_dependent;established,11498200,"LAYZELL, Michael Edward",8,false,false,
Blackhorse Electrical | Blackhorse Property Solutions,electricians,"Walthamstow, East London",E17 7DA,07464 625998,,https://blackhorseelectrical.co.uk/,52,5.0,10,15,no_booking;no_chat;phone_dependent;established,14461143,"GOKAY, Eren",3,false,false,
"Electricians Walthamstow, E17 electrician Service ...",electricians,"Walthamstow, East London",,,,https://walthamstow-electricians.co.uk/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;established,06691808,"SANUSI, Lateef",17,false,false,
Frank Edmund Electrical Services,electricians,"Walthamstow, East London",E17 5HT,07968 512649,,http://www.frankedmundelectrical.com/,72,5.0,10,10,no_booking;no_chat,,,,false,false,
AMD Electrics,electricians,"Walthamstow, East London",E4 8SL,07916 151824,,http://www.amdelectrics.co.uk/,55,5.0,10,10,no_booking;no_chat,,,,false,false,
Harris Electrical Ltd,electricians,"Walthamstow, East London",E17 9PT,020 8521 7491,sales@harriselectricalltd.co.uk,http://harriselectricalltd.co.uk/,54,4.5,10,10,no_booking;phone_dependent;established,00374056,"HARRIS, Deborah Ann",84,false,false,
Elect Tronex Walthamstow NorthEast London,electricians,"Walthamstow, East London",E17 7JR,07563 251246,,,206,4.6,0,15,no_booking;no_chat;phone_dependent;no_website;established,11704150,"NOAH, Kai",7,false,false,
Beales Electrical,electricians,"Walthamstow, East London",IG10 4BU,020 8133 1234,hello@beales-electrical.co.uk,http://www.beales-electrical.co.uk/,116,5.0,0,10,no_booking;phone_dependent,15538863,"BEALES, Oliver James",2,false,false,
