firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Merton Electrical Repairs,electricians,"Wimbledon, South London",NW7 3LN,020 3670 7917,,,2,3.0,90,15,has_negative_recent;no_booking;no_chat;phone_dependent;no_website;established,07503305,"DUFFY, Adrian John",15,false,false,
3 Line Electrical Wholesale Raynes Park,electricians,"Wimbledon, South London",SW20 0AY,020 8946 5558,,https://www.3lineelectrical.co.uk/,18,3.9,90,10,has_negative_recent;no_booking;no_chat;established,NI612500,"TREANOR, Margaret",14,false,false,
Ritter Electrical Ltd,electricians,"Wimbledon, South London",SW20 8LN,0800 078 6034,,,3,5.0,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website;established,09505677,"RITTER, Paul George",11,false,false,
Raynes Park Electrical Services London,electricians,"Wimbledon, South London",SW20 0LR,07735 826759,,,3,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,10789823,"SUBHAN, Nasim Mohammad",9,false,false,
Wimbledon Electrical Solutions,electricians,"Wimbledon, South London",SW19 5DX,020 3670 7938,,,,,40,15,no_booking;no_chat;phone_dependent;no_website,16012259,"ATTWOOD-SMITH, David John",1,false,false,
Lacey Electrical,electricians,"Wimbledon, South London",SW19 6NW,07894 575443,,http://laceyelectrical.co.uk/,17,5.0,40,10,no_booking;no_chat;established,07572313,"LACEY, Sean Martin",15,false,false,
Curious Electrics,electricians,"Wimbledon, South London",SW20 8LS,07973 822157,rory@curiouselectrics.com,https://www.curiouselectrics.com/,9,5.0,40,10,no_chat;phone_dependent,,,,false,false,
ATO-Solutions Wimbledon,electricians,"Wimbledon, South London",SW19 2RR,0800 050 2424,info@ATO-solutions.co.uk,http://ato-solutions.co.uk/,15,4.9,40,10,no_booking;no_chat;established,07435020,"KHAJENOURI, Jahangir",15,false,false,
Eclipse Technical Services LTD,electricians,"Wimbledon, South London",SW20 0TW,,info@eclipsets.co.uk,http://www.eclipsets.co.uk/,1,5.0,40,10,no_booking;no_chat;established,12577570,"CHASTY, Jack",6,false,false,
Jay Bee Electrical,electricians,"Wimbledon, South London",SW19 4EU,020 8393 3255,info@jaybeeelectrical.co.uk,https://jaybeeelectrical.co.uk/contact-us/,,,40,10,no_booking;no_chat;established,04647676,"BUNDFUSS, John Martin",23,false,false,
RS Electrical UK,electricians,"Wimbledon, South London",SW18 5RJ,07971 095928,rselectricaluk@hotmail.co.uk,http://www.rselectricaluk.co.uk/,27,5.0,20,15,no_booking;no_chat;phone_dependent;established,05150813,"STONE, Clare",22,false,false,
Ayrton Electrical,electricians,"Wimbledon, South London",SW18 5AD,07824 723688,info@ayrtonelectrical.co.uk,https://ayrtonelectrical.co.uk/,30,5.0,20,15,no_booking;no_chat;phone_dependent,15949293,"AYRTON-GRIME, Archie",1,false,false,
Netfixx Ltd,electricians,"Wimbledon, South London",SW20 0RH,020 7060 0999,contact@netfixx.co.uk,http://netfixx.co.uk/,31,4.9,20,10,no_booking;no_chat;established,09416432,"HEGEDUS, Nimrod Arpad",11,false,false,
Safesparx Electrical Ltd,electricians,"Wimbledon, South London",SM4 5QN,020 8226 0041,safesparx@gmail.com,http://safesparx.co.uk/,47,5.0,20,10,no_booking;no_chat;established,08357687,"SPENCE, Jamie Daniel",13,false,false,
Meet the Team,electricians,"Wimbledon, South London",,,lektrixltd@gmail.com,https://www.lektrix.co.uk/meet-the-team.php,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
Lumiel Electrical,electricians,"Wimbledon, South London",SM1 4DU,0191 743 6829,info@lumiel.co.uk,https://www.lumiel.co.uk/,93,5.0,10,10,no_booking;no_chat,16794257,"MAKER, Sanjit Singh",0,false,false,
ESS Technical Services,electricians,"Wimbledon, South London",SW19 4EU,020 3576 6158,nick@ess-electrical.com,http://www.essts.co.uk/,289,5.0,0,10,no_booking;no_chat;established,10424068,"DACKOMBE, Nicholas",9,false,false,
THS Electrical,electricians,"Wimbledon, South London",KT3 3ST,020 3838 0588,,https://www.ths-electrical.co.uk/?utm_source=search_google&utm_medium=google_my_business&utm_campaign=button_page,283,4.9,0,10,no_booking;no_chat,17055988,"HA, Richard",0,false,false,
