firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
YESSS Electrical London City,electricians,"Stratford, East London",E3 2JE,020 7537 6528,enquiries@yesss.co.uk,https://www.yesss.co.uk/store/london-city,12,4.0,90,10,has_negative_recent;no_booking;no_chat;established,07656807,"EMMOTT, Adam James",15,false,false,
Stratford Electrical Ltd,electricians,"Stratford, East London",E15 2HU,07411 159548,,,6,4.3,60,15,has_negative_recent;no_booking;no_chat;phone_dependent;no_website;established,07021535,"GRAAFLAND, Marloes",16,false,false,
Baqad Electrical Ltd,electricians,"Stratford, East London",E20 1FG,020 3996 0810,,,,,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,,,,false,false,
"Light Speed Electric, Corp.",electricians,"Stratford, East London",E15 1JA,,,,,,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website;established,NI003127,"MCEVOY, Patrick James",74,false,false,
RTRA Electrical And Heating Stratford,electricians,"Stratford, East London",E15 1XE,,,,,,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Genesis Electrics Ltd,electricians,"Stratford, East London",E15 4QZ,020 3813 1796,,https://genesiselectricsltd.co.uk/,,,40,15,no_booking;no_chat;phone_dependent;established,11158396,"AMAEWHULE, Hermas Kasie",8,false,false,
Electrical surplus LTD,electricians,"Stratford, East London",E10 5NA,020 8558 4019,tony.barrington@live.co.uk,https://www.electrical-surplus.co.uk/,12,4.9,40,15,no_booking;no_chat;phone_dependent;established,11885315,"BARRINGTON, Antony Paul",7,false,false,
Electricbase Bow,electricians,"Stratford, East London",E3 2NQ,020 8221 5893,,https://www.electricbase.co.uk/storefinder/store/bow-1031,1,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Richy Plumbing And Electrical Services,electricians,"Stratford, East London",E15 1BJ,07782 698187,,,,,40,15,no_booking;no_chat;phone_dependent;no_website;established,12191032,"ANTWI, Richard",6,false,false,
Springbank Electrical Services,electricians,"Stratford, East London",IG8 7LJ,020 8223 0444,,https://springbankelectricians.co.uk/,2,5.0,40,10,no_booking;no_chat;established,06764069,"ROY, Valburt George",17,false,false,
AA Electrical Installation Services,electricians,"Stratford, East London",E15 1JZ,07804 972463,info@test.com,https://revu.website/164974,21,5.0,20,10,no_booking;no_chat;established,04825462,"ADCOCK, Anthony Albert",23,false,false,
Acen Solar & Electrical Ltd,electricians,"Stratford, East London",E15 1XH,020 3005 3282,,https://acen-solar.co.uk/,45,5.0,20,10,no_booking;no_chat;established,10758282,"OZARSLAN, Aras Melih",9,false,false,
Electrician in Stratford E15,electricians,"Stratford, East London",,07852 280 518,,https://klic-electrical.co.uk/areas/stratford,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;established,11911728,"FORDHAM, Stephen",7,false,false,
"Stratford Electrician, Newham E7 Electrical Services, Book Now",electricians,"Stratford, East London",,,,https://elcofix.uk/electricians-forest-gate-stratford-newham-e7-electrical-maintenance-services/,,,10,10,weak_gbp;no_booking;no_chat;established,09453923,"HUSSAIN, Syed Altaf",11,false,false,
UK Domestic Appliances Ltd – Appliance Repair London,electricians,"Stratford, East London",E15 1NS,020 3633 5215,info@ukdomesticappliance.com,http://www.ukdomesticappliance.com/,151,4.8,0,5,no_chat;established,04968858,"MUHAMMAD, Imran",22,false,false,
