firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Niche Electrical Contractors Ltd,electricians,"Bromley, South London",BR1 3NH,01474 368950,info@niche-electrical.co.uk,http://www.niche-electrical.co.uk/,6,4.3,60,15,has_negative_recent;no_booking;no_chat;phone_dependent;established,12154051,"GREEN, Marc Anthony",7,false,false,
Sparkys Electricians Bromley,electricians,"Bromley, South London",BR1 3PL,0800 520 2016,,,6,5.0,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Bromley Electrical Services,electricians,"Bromley, South London",BR2 9HW,07533 542041,,,5,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Hussar Electrical Services LTD,electricians,"Bromley, South London",SE9 4BT,07808 215070,,https://sitelift.site/hussarelectricalservicesltd/,13,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Thomas London Emergency Electrician,electricians,"Bromley, South London",BR2 9NZ,0800 520 2002,,,6,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,16378417,"RAHMAN, Khan Mohammed Zahidur",1,false,false,
Adams Electrical London Ltd,electricians,"Bromley, South London",BR2 7NL,07931 598214,,http://www.adamselectrical.london/,14,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
CJ Electric,electricians,"Bromley, South London",BR2 9RY,020 8289 9260,,,17,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,10778432,"JAMES, Colin Joseph",9,false,false,
BR2 Electrician Bromley Common,electricians,"Bromley, South London",BR2 8QW,0800 078 6053,,http://br2electricianbromleycommon.co.uk/,4,4.8,40,15,no_booking;no_chat;phone_dependent;established,12356109,"ARCHIBALD, Brian David",6,false,false,
Bromley Electrician Services,electricians,"Bromley, South London",BR1 3EA,07727 275295,,,2,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,SC747826,"EDGAR, Alastair Ivor",3,false,false,
T J Electrical Ltd,electricians,"Bromley, South London",BR2 7EH,020 8462 7982,,https://www.tjelectricalltd.co.uk/,3,5.0,40,15,no_booking;no_chat;phone_dependent;established,05696882,"HOLLOWAY, Timothy John",20,false,false,
Scotts Plumbing & Electric Ltd,electricians,"Bromley, South London",BR1 1NF,07451 289940,,,4,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Cloud Electrical Limited,electricians,"Bromley, South London",BR2 9HD,020 8185 0955,,https://cloudelectrical.co.uk/,,,40,15,no_booking;no_chat;phone_dependent;established,05620600,"CLOUD, Matthew Christopher Ian",20,false,false,
Akim Electric LTD,electricians,"Bromley, South London",BR1 1QE,020 3627 1576,,https://eaglelocks.store/,,,40,10,no_booking;no_chat;established,13310194,"KAYA, Rahmi",5,false,false,
Adrians Electrical Ltd,electricians,"Bromley, South London",BR1 2PU,07894 020205,home2do@mail.com,http://www.home2do.co.uk/,5,5.0,40,10,no_booking;no_chat;established,10629590,"HINDSON, Adrian",9,false,false,
Electric workshop - Bromley,electricians,"Bromley, South London",BR1 5BL,07956 376430,,https://www.electricworkshop.co.uk/,27,4.7,20,15,no_booking;no_chat;phone_dependent,17321919,"GILGIL, Mustafa",0,false,false,
MCG Electrical Solutions LTD,electricians,"Bromley, South London",TN15 8EQ,020 3355 9537,,https://www.mcg-electrical.co.uk/,46,5.0,20,15,no_booking;no_chat;phone_dependent,17031976,"MCGRUER, Jack Alexander",0,false,false,
Brombick Electrical Ltd,electricians,"Bromley, South London",BR1 1LW,020 8148 8234,info@brombickelectrical.com,https://www.brombickelectrical.com/?utm_source=gmb&utm_medium=organic,36,5.0,20,10,no_booking;no_chat;established,14515365,"KILLIN, Lisa",3,false,false,
Wayre House Electrical Services Ltd,electricians,"Bromley, South London",BR1 3LW,020 8289 5010,info@wayrehouse.co.uk,https://wayrehouse.co.uk/,43,5.0,20,10,no_booking;no_chat;established,09256629,"WAYRE, Daniel Roy",11,false,false,
EES Electrical Engineering Solutions,electricians,"Bromley, South London",BR1 5ET,07859 803062,,https://ee-s.co.uk/,63,5.0,10,15,no_booking;no_chat;phone_dependent,16842034,"ADEMI, Mirjan",0,false,false,
Secure-Electrics,electricians,"Bromley, South London",BR2 8QG,07749 699252,,http://www.secure-electrics.co.uk/,74,5.0,10,15,no_booking;no_chat;phone_dependent,,,,false,false,
