firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Rye Lane Electrical Ltd,electricians,"Peckham, South London",SE15 5DW,020 7157 9782,Info@ryelaneelectrical.co.uk,http://www.ryelaneelectrical.com/,9,4.6,60,15,has_negative_recent;no_booking;no_chat;phone_dependent;established,11304038,"JACQUIN, Liam Brian",8,false,false,
LONGHURST ELECTRICAL LIMITED,electricians,"Peckham, South London",SE15 6UW,0800 078 6013,,,5,5.0,50,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Red Wire Electricians,electricians,"Peckham, South London",SE15 5HF,020 3670 4239,info@peckham-electricians.co.uk,https://peckham-electricians.co.uk/,1,5.0,40,15,no_booking;no_chat;phone_dependent;established,08792808,"BULLOCK, Nicole",12,false,false,
Roots Electrical,electricians,"Peckham, South London",SE15 3AB,07712 559205,,http://www.rootselectrical.com/,15,5.0,40,15,no_booking;no_chat;phone_dependent;established,14401494,"ROOTS, Martin James",3,false,false,
Westside Electrical Ltd,electricians,"Peckham, South London",SE15 4JX,020 7635 4311,westside_electrical@hotmail.com,http://www.westside-electrical-ltd.co.uk/,5,5.0,40,15,no_booking;no_chat;phone_dependent;established,06758622,"DIGWEED, Peter Jonathan",17,false,false,
Peckham Plantation & Window Shutters,electricians,"Peckham, South London",SE15 5DP,020 3670 5774,,https://peckham-plantation-and-window-shutters.co.uk/,6,5.0,40,15,no_booking;no_chat;phone_dependent;established,14400897,"MORGAN, Daniel Stephen James",3,false,false,
Electric Vehicle Charger Installation & Electrical Services,electricians,"Peckham, South London",SE15 4QS,020 8103 5915,,,,,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Dr Copper Electrics,electricians,"Peckham, South London",SE15 4LN,07850 047286,,https://drcopper.co.uk/,10,5.0,40,10,no_booking;no_chat,16517192,"THOMPSON, Richard",1,false,false,
Easy Electrical London LTD.,electricians,"Peckham, South London",SE5 7LP,020 3930 1223,info@easyelectricallondon.co.uk,https://easyelectricallondon.co.uk/,5,5.0,40,10,no_booking;no_chat;established,14075017,"SHIELS, James Michael",4,false,false,
Malumgra electrical services,electricians,"Peckham, South London",SE15 6AQ,020 4505 6500,,http://malumgraelectricalservicesltd.co.uk/,9,4.6,40,10,no_booking;no_chat;established,10911643,"MONTEIRO DA GRACA, Mario Luis",9,false,false,
