firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
AC1 Electrical Services LTD - Electricians in London,electricians,East London,E14 9XL,020 3150 1342,,https://www.ac1electricalservices.com/electricians-in-london,49,4.9,55,0,has_negative_recent;missed_call_evidence;established,11581027,"RUMSEY, Tony",7,false,false,
See Volt Electricians,electricians,East London,E15 1AU,020 3670 4252,info@stratfordelectrician.co.uk,https://stratfordelectrician.co.uk/,1,5.0,40,15,no_booking;no_chat;phone_dependent,17357906,"KOTSANI, Andrianos",0,false,false,
Wired up electrical services london,electricians,East London,E6 2DU,07809 431873,E6ELECTRICAL@GMAIL.COM,https://www.rnelectrician.com/,8,5.0,40,5,no_chat,,,,false,false,
BESA Electrical Services LTD,electricians,East London,EC1V 2NX,020 3633 8937,,https://besaelectricalservices.com/,343,5.0,35,10,has_negative_recent;missed_call_evidence;no_booking;no_chat;established,13716531,"PEJA, Gjergji",4,false,false,
Lloyd Hallowell Electrics,electricians,East London,E3 5NB,,info@lloydhallowellelectrics.co.uk,https://www.lloydhallowellelectrics.co.uk/,215,4.9,35,10,has_negative_recent;missed_call_evidence;no_chat;phone_dependent,16896332,"LLOYD, Samuel Richard",0,false,false,
King Electricians,electricians,East London,E1W 3TR,07903 289687,,https://kingelectricians.co.uk/,38,4.7,20,10,no_booking;no_chat;established,SC594131,"DUNCAN, Charles James Thomas",8,false,false,
ZJ Electrical Services,electricians,East London,E10 6BF,07407 028737,,https://zjelectricalservices.co.uk/,85,5.0,10,15,no_booking;no_chat;phone_dependent,16199084,"JASIULIS, Zilvinas",1,false,false,
Zaman Electrical Engineering Works,electricians,East London,E3 3RA,07473 608236,,,71,5.0,10,15,no_booking;no_chat;phone_dependent;no_website;established,12955451,"SHAMSUZZAMAN, Shameem",5,false,false,
Knox Power Electrical Services LTD,electricians,East London,,07307 216867,,,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,SC785918,"KNOX, Cameron Sturrock",2,false,false,
Spartan Electrical Scotland Ltd,electricians,East London,,07401 230484,spartanelectricalscotland@gmail.com,https://spartanelectricalscotland.com/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;established,SC711154,"REILLY, Christopher",4,false,false,
SCV Electrical Limited,electricians,East London,E1 3JJ,020 7123 8400,,https://scv-electrical.co.uk/,69,5.0,10,10,no_chat;phone_dependent;established,08532353,"GILBERT, David Alexander",13,false,false,
AJ Electrical & Plumbing,electricians,East London,E6 3PW,020 8261 7330,info@ajeps.co.uk,http://www.ajeps.co.uk/,74,4.8,10,10,no_chat;phone_dependent;established,09530078,"MCPARTLAND, Alexander",11,false,false,
Electricians4u ltd,electricians,East London,E12 6BT,020 8945 3483,,https://electricians4ultd.co.uk/,91,4.9,10,10,no_booking;no_chat;established,10944266,"KHAN, Abubaker",8,false,false,
Mr Magic Electrical,electricians,East London,,,,https://mrmagicelectrical.co.uk/,,,10,10,weak_gbp;no_booking;no_chat;established,14196168,"RUTKOWSKI, Maciej Wlodzimierz",4,false,false,
GFL Electrical: Electrical Contractors in East London,electricians,East London,,,info@gflelectrical.com,https://gflelectrical.com/,,,10,10,weak_gbp;no_booking;no_chat,,,,false,false,
GTH Electrical Ltd,electricians,East London,,07735 940482,,http://www.gth-electrical.co.uk/,,,10,10,weak_gbp;no_booking;no_chat;established,SC523108,"FENNING, George Thomas",10,false,false,
Eol Maintenance Services,electricians,East London,EC3V 1LP,020 8252 9789,emin@eolmaintenanceservices.com,https://www.eolmaintenanceservices.co.uk/,70,4.9,10,5,no_chat,17306259,"MAXWELL-HARRISON, Leo Charles",0,false,false,
Experienced Electricians,electricians,East London,,,info@denverelectrical.co.uk,https://www.denverelectrical.co.uk/,,,10,5,weak_gbp;no_chat;established,11798129,"GAMBLE, Benjamin Jon",7,false,false,
Hackney Plumber Electrician,electricians,East London,E5 9PS,07508 341843,,https://hackneyplumberelectrician.co.uk/,125,5.0,0,15,no_booking;no_chat;phone_dependent,,,,false,false,
A Star Electrical Services London,electricians,East London,IG3 8BE,07909 074664,,http://astarelectrical.co.uk/,132,5.0,0,15,no_booking;no_chat;phone_dependent,15176926,"SINGH-BHAKER, Ajay",2,false,false,
OW London Electricians & Home Automation,electricians,East London,RM10 7FD,07307 565444,info@owelectric.co.uk,https://www.owelectric.co.uk/,111,5.0,0,15,no_booking;no_chat;phone_dependent,,,,false,false,
Al-Amin Electrical Contractor,electricians,East London,E15 2QW,020 7476 2153,,https://www.al-aminelectrical.co.uk/,525,4.9,0,10,no_booking;no_chat;established,02120699,"ARNOLD, Michael",39,false,false,
Electrical Solutions 247 Ltd,electricians,East London,E1 2LX,07777 968288,info.electricalsolutions247ltd@gmail.com,https://www.electricalsolutions247ltd.co.uk/,319,5.0,0,10,no_booking;no_chat,15329705,"HASAN, Najmul",2,false,false,
Jema Electrical Ltd,electricians,East London,E5 8BD,07479 937390,,http://www.jemaelectrical.com/,175,5.0,0,10,no_booking;no_chat;established,12787817,"MATUBA, Jeremy",6,false,false,
London Electrics Ltd,electricians,East London,IG4 5DD,07795 695656,londonelectrics4u@gmail.com,https://londonelectrics.ltd/,293,5.0,0,10,no_chat;phone_dependent;established,12353382,"AMIN, Mohammad Al",6,false,false,
