firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Five Star Electrical,electricians,"Ilford, East London",IG1 1SF,07939 941801,,,3,2.3,90,15,has_negative_recent;missed_call_evidence;no_booking;no_chat;phone_dependent;no_website,,,,false,false,
London Electrical and Lighting Ltd,electricians,"Ilford, East London",IG1 1HF,020 8478 0778,,,15,4.5,60,15,has_negative_recent;no_booking;no_chat;phone_dependent;no_website;established,08682852,"IQBAL, Umair",12,false,false,
Ohm Electrical Engineering,electricians,"Ilford, East London",IG1 1JP,020 3302 2024,,http://www.ohmelectricals.co.uk/,17,4.8,60,15,has_negative_recent;no_booking;no_chat;phone_dependent;established,11343805,"DAUD, Muhammad",8,false,false,
Greenwood Electricals Ilford,electricians,"Ilford, East London",IG2 6UF,020 3670 7992,,,7,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
The Electric Company Redbridge,electricians,"Ilford, East London",IG1 1JL,020 3670 8140,,,14,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Mason Electricians Redbridge,electricians,"Ilford, East London",IG1 1QY,020 3670 7993,,,7,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,04246504,"AKRAM, Ghazala Shaheen",25,false,false,
Firminio Electrical Services Barking,electricians,"Ilford, East London",IG1 2NW,020 3670 7990,,,7,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Ilford E-Bike Clinic,electricians,"Ilford, East London",IG3 8EX,07510 935262,,,12,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,15832813,"ASIF, Hamza",2,false,false,
Handy Hub,electricians,"Ilford, East London",IG1 4LX,020 3355 6091,,https://handyhub.co.uk/contact-us/,14,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Ryker Electrical,electricians,"Ilford, East London",IG1 1HY,020 8553 0263,,http://www.rykerelectrical.co.uk/,17,5.0,40,10,no_booking;no_chat;established,11876955,"VANCE, Timothy James",7,false,false,
UK Electrician Ltd,electricians,"Ilford, East London",IG3 9DA,07949 720712,,http://www.ukelectricianltd.com/,1,5.0,40,10,no_booking;no_chat;established,10072328,"LUSHA, Besmir",10,false,false,
House Rewire Electrician,electricians,"Ilford, East London",IG1 1DS,07520 641676,,https://localelectricianilford.co.uk/,22,5.0,20,15,no_booking;no_chat;phone_dependent,,,,false,false,
Capital Electric & Gas,electricians,"Ilford, East London",IG3 8XA,07940 794227,,,29,5.0,20,15,no_booking;no_chat;phone_dependent;no_website;established,10317060,"PALACHANDRAN, Sivaram",10,false,false,
Heyworth Electrical,electricians,"Ilford, East London",IG3 9ES,020 8220 0555,,http://www.heyworthelectrical.com/,46,4.9,20,10,no_booking;no_chat,,,,false,false,
B S Electrical Services Uk Ltd,electricians,"Ilford, East London",IG1 3QE,07932 621585,info@bs-electrical.co.uk,https://bs-electrical.co.uk/,27,4.8,20,5,no_chat;established,05912917,"PATEL, Bhimji Shivji",20,false,false,
Safe Spark Solutions - Electricians,electricians,"Ilford, East London",IG6 2TS,07966 037885,,http://www.safesparksolutions.co.uk/,65,5.0,10,15,no_booking;no_chat;phone_dependent,,,,false,false,
"Electrical Services in Ilford, Greater London",electricians,"Ilford, East London",,,,https://noticed.uk/electrical-services/greater-london/ilford?page\u003d3,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,16144883,"WILLIAMS, Dwayne",1,false,false,
KCS Electrics,electricians,"Ilford, East London",IG1 4DU,,%20info@kcs-electrics.co.uk,https://kcs-electrics.co.uk/,92,4.8,10,5,no_chat;established,07662504,"MEHBOOB, Muhammad Soban",15,false,false,
