firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
South London Electric Ltd,electricians,South London,SW17 9ES,07956 562099,info@southlondonlelectrics.com,http://southlondonelectrics.com/,3,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Prime Electricians London,electricians,South London,SE8 3EJ,07732 012159,info@primeelectrical-sg.co.uk,http://primeelectrical-sg.co.uk/,62,4.9,30,5,has_negative_recent;no_chat,,,,false,false,
NOD-Electrical Services - Electricians and EV Charging Experts in South London,electricians,South London,SW16 2UN,07772 247410,info@nod-electricalservices.co.uk,http://www.nod-electricalservices.co.uk/,34,5.0,20,15,no_booking;no_chat;phone_dependent;established,13383463,"MARKS, Anthony Simon",5,false,false,
Avag Electrical Services LTD,electricians,South London,SE6 4EP,07777 444505,arsenavagimian@gmail.com,https://avagelectrical.co.uk/,32,5.0,20,15,no_booking;no_chat;phone_dependent,17238396,"AVAGIMIAN, Ekaterina",0,false,false,
EB Electrical Services Limited,electricians,South London,SW11 2EG,07376 635189,,,71,5.0,10,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
24/7 POWERUP ELECTRICAL LTD,electricians,South London,SW12 8QL,07982 999412,,,84,5.0,10,15,no_booking;no_chat;phone_dependent;no_website,15894280,"SHAFIQUE, Rizwan",2,false,false,
Diligent Electrical Contractors,electricians,South London,SE27 9UA,07951 719187,info@diligentelectrical.co.uk,http://www.diligentelectrical.co.uk/,63,5.0,10,15,no_booking;no_chat;phone_dependent;established,09614994,"MAXWELL, Ishmael",11,false,false,
AC Electrical Services 09 Ltd,electricians,South London,SW16 5AU,020 8764 9570,enquiries@aceselectricians.co.uk,https://aceselectricians.co.uk/,73,4.9,10,15,no_booking;no_chat;phone_dependent;established,07097086,"MCFARLANE, Colin Anthony",16,false,false,
HM Electrical - Electrician London,electricians,South London,SW18 5BY,07866 433378,info@hmelectrical.london,https://www.hmelectrical.london/,61,4.8,10,15,no_booking;no_chat;phone_dependent,,,,false,false,
Richard Uri Electrical Services Ltd,electricians,South London,,07888 867963,info@richardurielectrical.co.uk,https://www.richardurielectrical.co.uk/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,,,,false,false,
Luxtric Ltd,electricians,South London,,07782 207338,,,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,17304709,"MORRIS, James Angelo Joseph",0,false,false,
A&B Electrical Services,electricians,South London,,07307 297521,,,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Rama Electrical Limited,electricians,South London,,07367 188776,info@ramaelectrical.com,http://www.ramaelectrical.com/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;established,10130912,"VAGADIA, Virendra Arjan",10,false,false,
