firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Maloney's Heating & Plumbing Supply,hvac,"Epsom, Surrey",KT17 1JF,01372 727511,,http://www.maloneys.co.uk/,11,4.2,90,5,has_negative_recent;no_chat;established,12199949,"AYUB, Ajaz",6,false,false,
All Four Seasons Ltd,hvac,"Epsom, Surrey",KT19 0QT,020 8224 6597,,http://www.allfourseasons.co.uk/,1,4.0,70,15,no_booking;no_chat;phone_dependent,,,,false,false,
Fuller Heating,hvac,"Epsom, Surrey",KT19 0DB,020 8394 2776,,http://www.fullerheating.co.uk/,26,4.3,55,5,has_negative_recent;missed_call_evidence;no_chat;established,11055004,"FULLER, Alan",8,false,false,
I.C.E. Services UK Ltd.,hvac,"Epsom, Surrey",KT17 1RX,020 8394 1771,office@iceservicesuk.com,http://www.iceservicesuk.com/,9,4.6,40,15,no_booking;no_chat;phone_dependent;established,04365268,"CONIBEAR, Ian James",24,false,false,
JM Environmental Ltd,hvac,"Epsom, Surrey",KT17 3LF,07920 770039,,http://www.jm-environmental.com/,,,40,15,no_booking;no_chat;phone_dependent;established,08815514,"COPPING, Jayne Elizabeth",12,false,false,
PWA Plumbing & Heating,hvac,"Epsom, Surrey",KT19 9DB,07342 241808,contact@pwaplumbingandheating.co.uk,https://pwaplumbingandheating.co.uk/,18,5.0,40,10,no_booking;no_chat;established,12091197,"WASILEWSKI, Piotr Edward",7,false,false,
Bluechip Heating Ltd,hvac,"Epsom, Surrey",KT17 1HX,01737 362882,hello@bluechipheating.co.uk,http://www.bluechipheating.co.uk/,7,5.0,40,10,no_booking;no_chat;established,06307862,"LOGAN, Adrian Roger",19,false,false,
AC Gas Solutions,hvac,"Epsom, Surrey",KT19 9NY,07846 320553,,http://www.acgassolutions.com/,6,5.0,40,10,no_booking;no_chat,,,,false,false,
RTR Air conditioning Ltd,hvac,"Epsom, Surrey",KT20 5LR,07963 395583,Info@rtrcontracting.com,https://rtrairconditioning.co.uk/,,,40,10,no_chat;phone_dependent;established,11138746,"BLACKMAN, Stuart",8,false,false,
Epsom Heating and Gas Ltd,hvac,"Epsom, Surrey",KT21 2SG,020 8394 2964,,https://www.centralheatingepsom.com/,2,5.0,40,10,no_booking;no_chat;established,05326471,"SIGGERY, Robert Peter",21,false,false,
Optimal Heating Services Limited,hvac,"Epsom, Surrey",KT19 9NZ,07535 584991,ask@optimalheating.co.uk,http://www.optimalheating.co.uk/,1,5.0,40,10,no_booking;no_chat;established,09482406,"KOWAL, Wieslaw Tadeusz",11,false,false,
RHMEP LTD,hvac,"Epsom, Surrey",KT9 1BP,07500 045585,info@rhmep.uk,https://rhmep.co.uk/,2,5.0,40,10,no_booking;no_chat;established,11189927,"FAZEL, Kanishco",8,false,false,
AirAix Climate Control,hvac,"Epsom, Surrey",KT18 5QW,07308 081414,,,13,5.0,40,0,established,14191820,"HAJIVANDI, Setareh",4,false,false,
Surbiton Heating and Cooling Solutions,hvac,"Epsom, Surrey",KT6 7HR,020 3823 6143,,,10,4.6,40,0,established,14359402,"GOODE, Daniel",3,false,false,
Keystone Comfort Solutions Ltd,hvac,"Epsom, Surrey",KT18 5RQ,07399 539686,,https://keystonecomfortsolutions.co.uk/,37,5.0,20,10,no_booking;no_chat;established,14581894,"WILLETT, Anthony John",3,false,false,
R J B & Sons Electrical & Ventilation Contractors LTD,hvac,"Epsom, Surrey",KT19 9BS,07903 681369,,http://www.rjbelectricalventilation.co.uk/,48,5.0,20,10,no_booking;no_chat,,,,false,false,
Max Heating & Plumbing,hvac,"Epsom, Surrey",KT18 7RR,07956 121113,info@maxheating.co.uk,https://www.maxheating.co.uk/,23,5.0,20,10,no_chat;phone_dependent;established,10923110,"TOWEY-SMITH, Max",9,false,false,
A3 Cooling Services Ltd,hvac,"Epsom, Surrey",KT9 1SD,020 4638 1145,info@a3cooling.co.uk,http://www.a3cooling.co.uk/,27,5.0,20,10,no_booking;no_chat;established,06654162,"FITZ-GERALD, Daniel Patrick",18,false,false,
T GAS HEATING & PLUMBING SOLUTIONS LTD,hvac,"Epsom, Surrey",KT19 0LF,07471 849039,,http://www.tgas-solutions.co.uk/,72,5.0,10,10,no_booking;no_chat;established,11386060,"BARRETT, Thomas Kevin",8,false,false,
Blueman Plumbing & Heating,hvac,"Epsom, Surrey",SM3 9RJ,020 8644 4414,ali@bluemanplumbing.com,http://www.bluemanplumbing.com/,231,4.9,0,15,no_booking;no_chat;phone_dependent;established,14055809,"ALI, Hafez",4,false,false,
