firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
LPB Electrical Solutions Ltd,electricians,"Hackney, East London",E8 3PN,020 3835 3064,,,9,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
Homerton Electrics,electricians,"Hackney, East London",E9 5PE,07518 608263,,,16,4.8,40,15,no_booking;no_chat;phone_dependent;no_website,16022867,"CAM, Fatma",1,false,false,
Lightplay Electrical,electricians,"Hackney, East London",E8 3AB,07931 762343,info@lightplayelectrical.co.uk,http://www.lightplayelectrical.co.uk/,3,5.0,40,15,no_booking;no_chat;phone_dependent,,,,false,false,
Sidworth Plumbing and Electrical,electricians,"Hackney, East London",E8 3SD,07520 661996,,,4,5.0,40,15,no_booking;no_chat;phone_dependent;no_website,,,,false,false,
R C Electrics Ltd,electricians,"Hackney, East London",N1 4DP,020 3222 5352,&#114;&#105;&#99;&#104;&#97;&#114;&#100;&#64;&#114;&#99;&#101;&#108;&#101;&#99;&#116;&#114;&#105;&#99;&#115;&#46;&#110;&#101;&#116;,https://www.rcelectrics.net/,2,5.0,40,15,no_booking;no_chat;phone_dependent;established,03527095,"CAMP, Tom Richard",28,false,false,
Markel Electric & Plumbing,electricians,"Hackney, East London",E8 1HA,07520 615265,,,3,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,14814427,"COHEN, Eli",3,false,false,
SA Electrical & Plumbing Ltd,electricians,"Hackney, East London",EN4 8UL,07728 886972,,,3,5.0,40,15,no_booking;no_chat;phone_dependent;no_website;established,12422282,"FINCH, Reece Mark",6,false,false,
TopStar Electrical LTD,electricians,"Hackney, East London",EC2A 4NE,07309 356235,info@topstarelectrical.com,http://www.topstarelectrical.com/,18,5.0,40,10,no_booking;no_chat;established,13049573,"BORGES DOS SANTOS, Paul Marley",5,false,false,
Evri Electric,electricians,"Hackney, East London",E5 0NW,07469 955549,,https://evrielectric.co.uk/,2,5.0,40,10,no_booking;no_chat;established,11847642,"GEREKLI, Cafer",7,false,false,
Do It All Electrical,electricians,"Hackney, East London",E3 5NY,07834 637900,d.i.a.e.services@gmail.com,http://diaeservices.wixsite.com/2025,14,5.0,40,10,no_booking;no_chat;established,13566461,"WEST, Jason",5,false,false,
Loring Electrical,electricians,"Hackney, East London",E8 4DT,07360 678764,hello@loringelectrical.com,https://loringelectrical.com/,50,5.0,20,15,no_booking;no_chat;phone_dependent,17118151,"LORING, Oliver Terence",0,false,false,
Sparks R Us(UK),electricians,"Hackney, East London",E8 1AD,07977 818933,sparksrusuk@aol.com,http://www.sparksrusuk.com/,49,4.8,20,15,no_booking;no_chat;phone_dependent;established,06721761,"ARCHIBONG, Dominic",17,false,false,
Mirek Electricals Ltd,electricians,"Hackney, East London",E8 4LU,07756 861087,mirekelectricals@gmail.com,http://www.mirekelectricals.co.uk/,21,5.0,20,10,no_booking;no_chat;established,11089232,"BURDZYLUK, Miroslaw Grzegorz",8,false,false,
"Electricians Hackney, Homerton, E9 electrician Service ...",electricians,"Hackney, East London",,,,https://hackney-electricians.co.uk/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent;established,11654226,"HARRINGTON, Clive Leonard",7,false,false,
Hackney Electrician Coverage,electricians,"Hackney, East London",,,info@everaldalfselectrical.co.uk,https://everaldalfselectrical.co.uk/areas/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,17294823,"MORRIS, James Jonathan",0,false,false,
A&H Electrical,electricians,"Hackney, East London",,,,https://www.ah-electric.co.uk/,,,10,15,weak_gbp;no_booking;no_chat;phone_dependent,15473295,"CHEMLAKH, Mohamed Anis",2,false,false,
Amy's Electrics,electricians,"Hackney, East London",N16 8SF,07769 329138,,https://amyselectrics.co.uk/,64,4.9,10,10,no_booking;no_chat;established,12549476,"NICHOLSON, Amy Heather",6,false,false,
Power Pros Electrical Ltd,electricians,"Hackney, East London",E3 5JJ,020 3319 6934,info@powerproselectrical.co.uk,http://www.powerproselectrical.co.uk/,91,5.0,10,5,no_chat,15837544,"PERRY, Benjamin",2,false,false,
