firm_name,vertical,location,postcode,phone,email,website,review_count,avg_rating,review_target_score,opportunity_score,flags,company_number,director_name,years_trading,tps_checked,is_chain,chain_reason
Excel Cooling Services Ltd,air conditioning companies,South London,CR0 4WD,020 8633 1748,,,5,3.4,90,15,has_negative_recent;no_booking;no_chat;phone_dependent;no_website;established,05414848,"DIXON, Jason Roy",21,false,false,
JP Air Conditioning Services,air conditioning companies,South London,BR2 9LB,020 8333 1191,info@jpaircon.com,https://jpaircon.com/contact/bromley?utm_source=gmb&utm_medium=organic,37,4.1,85,10,has_negative_recent;missed_call_evidence;no_booking;no_chat,16263132,"PRETORIUS, Jacques",1,false,false,
Toropro Air Conditioning Ltd,air conditioning companies,South London,SE24 9DL,020 8610 9100,enquiries@toropro.co.uk,http://www.toropro.co.uk/,33,3.6,85,0,has_negative_recent;missed_call_evidence;established,08630357,"BELECKY, Tomas",13,false,false,
Carrier Air Conditioning,air conditioning companies,South London,SW1 9DD,01372 220220,,https://www.carrier.com/commercial/en/uk/,8,4.5,75,10,has_negative_recent;missed_call_evidence;no_booking;no_chat,,,,false,false,
DG Air Conditioning Ltd,air conditioning companies,South London,SW19 6NW,07802 423540,enquiries@dgairconditioning.co.uk,http://www.dgairconditioning.co.uk/,81,4.7,45,10,has_negative_recent;missed_call_evidence;no_booking;no_chat;established,12189345,"GUYVER, Danny",6,false,false,
Lee Air Conditioning (Services) Ltd.,air conditioning companies,South London,CR0 4WD,020 8680 8926,,http://www.leeairconditioning.co.uk/,3,5.0,40,15,no_booking;no_chat;phone_dependent;established,01442861,"GREENSMYTH, Niall",47,false,false,
SS Air Conditioning Ltd,air conditioning companies,South London,SM2 5UD,07857 571205,info@ssairconditioning.co.uk,https://ssairconditioning.uk/,13,4.7,40,15,no_booking;no_chat;phone_dependent;established,14723172,"SONO, Sonila",3,false,false,
Prism Air Conditioning Ltd,air conditioning companies,South London,CR4 3UD,01342 894550,,http://www.prism-ac.co.uk/,1,5.0,40,15,no_booking;no_chat;phone_dependent;established,04984777,"HUMPHRIES, Peter Paul",22,false,false,
GW Air Conditioning,air conditioning companies,South London,CR0 4JZ,020 8686 6226,,http://www.gwac.co.uk/,,,40,15,no_booking;no_chat;phone_dependent;established,04239157,"GARDNER, Gary William",25,false,false,
Aircon Company London,air conditioning companies,South London,SW7 1AH,020 3903 7225,info@aircon-company.com,https://www.aircon-company.com/?utm_source=gmb&utm_medium=map,7,5.0,40,10,no_booking;no_chat;established,13504592,"FILIP, Adriana-Cristina",5,false,false,
Art Cool Services LTD,air conditioning companies,South London,SW16 4AA,020 3719 7108,info@artcoolservices.co.uk,http://www.artcoolservices.co.uk/,3,5.0,40,10,no_booking;no_chat;established,13938527,"FERREIRA PIRES, Emilio Jose",4,false,false,
Abbottsway Engineering Ltd,air conditioning companies,South London,SW16 4PP,020 7183 3593,,https://www.fixy247.com/,14,4.4,40,10,no_booking;no_chat;established,08391855,"LILANI, Munawar Ali",13,false,false,
London Vents Ltd,air conditioning companies,South London,CR0 6NF,020 3795 9120,,http://www.londonvents.co.uk/,2,5.0,40,10,no_booking;no_chat;established,12136365,"HODSON, Stewart Hamilton",7,false,false,
Aircooltech ltd,air conditioning companies,South London,KT4 7AT,020 8337 7083,info@aircooltech.co.uk,http://aircooltech.co.uk/,24,5.0,20,15,no_booking;no_chat;phone_dependent;established,07556476,"KIM, Hak Jae",15,false,false,
Hidden cool Ltd,air conditioning companies,South London,CR4 4NA,020 8669 1112,,https://www.hiddencool.co.uk/,26,4.7,20,15,no_booking;no_chat;phone_dependent,16442900,"BRIDGE, Jonathan Gary",1,false,false,
Avon Air Conditioning Ltd,air conditioning companies,South London,SM4 6RW,020 8409 0173,info@avonair.co.uk,http://www.avonair.co.uk/,42,4.7,20,10,no_booking;no_chat;established,12299139,"MIRIHANA, Rasika Udara Sampath",6,false,false,
FRS Air Conditioning,air conditioning companies,South London,SW16 6NJ,020 3876 3690,info@frsairconditioning.com,https://frsairconditioning.com/,55,5.0,10,10,no_booking;no_chat,15728384,"SORATO, Elizandro",2,false,false,
Air Cool Environmental Ltd,air conditioning companies,South London,BR1 3RB,020 8249 5061,info@aircoolenvironmental.co.uk,https://www.aircoolenvironmental.co.uk/,80,4.9,10,10,no_booking;no_chat;established,04446074,"JAMES, Cindy Jane",24,false,false,
WDI Group (surrey) Ltd,air conditioning companies,South London,SM6 7AH,020 3727 2578,info@wdigroupltd.co.uk,http://www.wdigroupltd.co.uk/,67,4.9,10,5,no_chat,15560511,"WARD, Bradley",2,false,false,
All Star Air Conditioning,air conditioning companies,South London,N4 1TJ,020 3519 1340,info@allstar-aircon.co.uk,https://www.allstar-aircon.co.uk/,213,5.0,0,10,no_booking;no_chat;established,12952167,"FLUEN, Garry Joe",5,false,false,
Just Services Group,air conditioning companies,South London,SW19 1NE,020 7323 2999,,https://justservicesgroup.com/,260,4.9,0,10,no_booking;no_chat;established,10177302,"BURLS, Christopher Luke",10,false,false,
BlueFlame Plumbing and Heating | Brixton & Clapham,air conditioning companies,South London,SW2 2JG,020 8059 2307,enquiries@blueflameplumbingandheating.co.uk,https://www.blueflameplumbingandheating.co.uk/,127,4.9,0,10,no_booking;no_chat,,,,false,false,
